Z,Element,Nuclide,Half-life,Decay mode,Alpha,Electron,Photon,Total,Daughter Products
1,Hydrogen,H-3,12.32 y,B-,–,0.005,–,0.0057,{'He-3': 1.0}
4,Beryllium,Be-7,53.22 d,EC,–,<E-04,0.0499,0.0499,{'Li-7': 1.0}
4,Beryllium,Be-10,1.51E+6 y,B-,–,0.2525,–,0.2525,{'B-10': 1.0}
6,Carbon,C-10,19.255 s,ECB+,–,0.8087,1.7443,2.5531,{'B-10': 1.0}
6,Carbon,C-11,20.39 m,ECB+,–,0.3847,1.0196,1.4043,{'B-11': 1.0}
6,Carbon,C-14,5.70E+3 y,B-,–,0.0495,–,0.0495,{'N-14': 1.0}
7,Nitrogen,N-13,9.965 m,ECB+,–,0.4909,1.02,1.5109,{'C-13': 1.0}
7,Nitrogen,N-16,7.13 s,B-,–,2.7646,4.4932,7.2579,{'O-16': 1.0}
8,Oxygen,O-14,70.606 s,ECB+,–,0.7763,3.3201,4.0965,{'N-14': 1.0}
8,Oxygen,O-15,122.24 s,ECB+,–,0.7347,1.021,1.7557,{'N-15': 1.0}
8,Oxygen,O-19,26.464 s,B-,–,1.7608,0.9397,2.7006,{'F-19': 1.0}
9,Fluorine,F-17,64.49 s,ECB+,–,0.7385,1.0208,1.7593,{'O-17': 1.0}
9,Fluorine,F-18,109.77 m,ECB+,–,0.2416,0.9886,1.2302,{'O-18': 1.0}
10,Neon,Ne-19,17.22 s,ECB+,–,0.9624,1.021,1.9834,{'F-19': 1.0}
10,Neon,Ne-24,3.38 m,B-,–,0.8035,0.5419,1.3455,{'Na-24': 1.0}
11,Sodium,Na-22,2.6019 y,ECB+,–,0.1941,2.1926,2.3866,{'Ne-22': 1.0}
11,Sodium,Na-24,14.9590 h,B-,–,0.5538,4.1232,4.677,{'Mg-24': 1.0}
12,Magnesium,Mg-27,9.458 m,B-,–,0.7021,0.8912,1.5933,{'Al-27': 1.0}
12,Magnesium,Mg-28,20.915 h,B-,–,0.161,1.37,1.531,{'Al-28': 1.0}
13,Aluminium,Al-26,7.17E+5 y,ECB+,–,0.4444,2.6751,3.1195,{'Mg-26': 1.0}
13,Aluminium,Al-28,2.2414 m,B-,–,1.2417,1.7789,3.0205,{'Si-28': 1.0}
13,Aluminium,Al-29,6.56 m,B-,–,0.9764,1.3794,2.3558,{'Si-29': 1.0}
14,Silicon,Si-31,157.3 m,B-,–,0.5949,0.0009,0.5957,{'P-31': 1.0}
14,Silicon,Si-32,132 y,B-,–,0.0686,–,0.0686,{'P-32': 1.0}
15,Phosphorus,P-30,2.498 m,ECB+,–,1.4389,1.0222,2.461,{'Si-30': 1.0}
15,Phosphorus,P-32,14.263 d,B-,–,0.6948,–,0.6948,{'S-32': 1.0}
15,Phosphorus,P-33,25.34 d,B-,–,0.0764,–,0.0764,{'S-33': 1.0}
16,Sulphur,S-35,87.51 d,B-,–,0.0487,–,0.0487,{'Cl-35': 1.0}
16,Sulphur,S-37,5.05 m,B-,–,0.7998,2.9311,3.7309,{'Cl-37': 1.0}
16,Sulphur,S-38,170.3 m,B-,–,0.4898,1.6953,2.1851,{'Cl-38': 1.0}
17,Chlorine,Cl-34,1.5264 s,ECB+,–,2.0508,1.0212,3.072,{'S-34': 1.0}
17,Chlorine,Cl-34m,32.00 m,ECB+IT,–,0.4596,2.1127,2.5722,"{'Cl-34': 0.446, 'S-34': 0.554}"
17,Chlorine,Cl-36,3.01E+5 y,B-ECB+,–,0.2732,0.0001,0.2733,"{'Ar-36': 0.981, 'S-36': 0.019}"
17,Chlorine,Cl-38,37.24 m,B-,–,1.5504,1.443,2.9934,{'Ar-38': 1.0}
17,Chlorine,Cl-39,55.6 m,B-,–,0.8246,1.4509,2.2755,{'Ar-39': 1.0}
17,Chlorine,Cl-40,1.35 m,B-,–,1.5265,4.0821,5.6085,{'Ar-40': 1.0}
18,Argon,Ar-37,35.04 d,EC,–,0.0023,0.0003,0.0025,{'Cl-37': 1.0}
18,Argon,Ar-39,269 y,B-,–,0.2188,–,0.2188,{'K-39': 1.0}
18,Argon,Ar-41,109.61 m,B-,–,0.4637,1.2836,1.7474,{'K-41': 1.0}
18,Argon,Ar-42,32.9 y,B-,–,0.2325,–,0.2325,{'K-42': 1.0}
18,Argon,Ar-43,5.37 m,B-,–,1.357,1.5352,2.8921,{'K-43': 1.0}
18,Argon,Ar-44,11.87 m,B-,–,0.5245,1.9376,2.4621,{'K-44': 1.0}
19,Potassium,K-38,7.636 m,ECB+,–,1.2107,3.1867,4.3974,{'Ar-38': 1.0}
19,Potassium,K-40,1.251E+9 y,B-ECB+,–,0.5218,0.1567,0.6785,"{'Ca-40': 0.8914, 'Ar-40': 0.1086}"
19,Potassium,K-42,12.360 h,B-,–,1.4303,0.2787,1.709,{'Ca-42': 1.0}
19,Potassium,K-43,22.3 h,B-,–,0.3097,0.9641,1.2739,{'Ca-43': 1.0}
19,Potassium,K-44,22.13 m,B-,–,1.4567,2.3846,3.8413,{'Ca-44': 1.0}
19,Potassium,K-45,17.3 m,B-,–,0.9959,1.836,2.8319,{'Ca-45': 1.0}
19,Potassium,K-46,105 s,B-,–,2.3161,2.871,5.1871,{'Ca-46': 1.0}
20,Calcium,Ca-41,1.02E+5 y,EC,–,0.0027,0.0005,0.0032,{'K-41': 1.0}
20,Calcium,Ca-45,162.67 d,B-,–,0.0772,<E-04,0.0772,{'Sc-45': 1.0}
20,Calcium,Ca-47,4.536 d,B-,–,0.3521,1.0521,1.4042,{'Sc-47': 1.0}
20,Calcium,Ca-49,8.718 m,B-,–,0.8693,3.1675,4.0369,{'Sc-49': 1.0}
21,Scandium,Sc-42m,62.0 s,ECB+,–,1.2565,4.2042,5.4607,{'Ca-42': 1.0}
21,Scandium,Sc-43,3.891 h,ECB+,–,0.4195,0.9841,1.4035,{'Ca-43': 1.0}
21,Scandium,Sc-44,3.97 h,ECB+,–,0.5961,2.1369,2.733,{'Ca-44': 1.0}
21,Scandium,Sc-44m,58.61 h,ITEC,–,0.0328,0.2743,0.3071,"{'Sc-44': 0.988, 'Ca-44': 0.012}"
21,Scandium,Sc-46,83.79 d,B-,–,0.1121,2.0096,2.1217,{'Ti-46': 1.0}
21,Scandium,Sc-47,3.3492 d,B-,–,0.1624,0.1089,0.2713,{'Ti-47': 1.0}
21,Scandium,Sc-48,43.67 h,B-,–,0.2216,3.3529,3.5744,{'Ti-48': 1.0}
21,Scandium,Sc-49,57.2 m,B-,–,0.8177,0.001,0.8188,{'Ti-49': 1.0}
21,Scandium,Sc-50,102.5 s,B-,–,1.6362,3.2022,4.8384,{'Ti-50': 1.0}
22,Titanium,Ti-44,60.0 y,EC,–,0.0108,0.1396,0.1504,{'Sc-44': 1.0}
22,Titanium,Ti-45,184.8 m,ECB+,–,0.3728,0.8703,1.2431,{'Sc-45': 1.0}
22,Titanium,Ti-51,5.76 m,B-,–,0.8692,0.3692,1.2383,{'V-51': 1.0}
22,Titanium,Ti-52,1.7 m,B-,–,0.753,0.1282,0.8812,{'V-52': 1.0}
23,Vanadium,V-47,32.6 m,ECB+,–,0.8027,0.9951,1.7978,{'Ti-47': 1.0}
23,Vanadium,V-48,15.9735 d,ECB+,–,0.1526,2.914,3.0666,{'Ti-48': 1.0}
23,Vanadium,V-49,330 d,EC,–,0.0035,0.0009,0.0045,{'Ti-49': 1.0}
23,Vanadium,V-50,1.50E+17 y,ECB-,–,0.0158,1.4235,1.4393,"{'Ti-50': 0.83, 'Cr-50': 0.17}"
23,Vanadium,V-52,3.743 m,B-,–,1.0684,1.4449,2.5133,{'Cr-52': 1.0}
23,Vanadium,V-53,1.61 m,B-,–,1.0048,1.0382,2.043,{'Cr-53': 1.0}
24,Chromium,Cr-48,21.56 h,ECB+,–,0.0086,0.4363,0.4449,{'V-48': 1.0}
24,Chromium,Cr-49,42.3 m,ECB+,–,0.6047,1.0538,1.6584,{'V-49': 1.0}
24,Chromium,Cr-51,27.7025 d,EC,–,0.0038,0.0329,0.0367,{'V-51': 1.0}
24,Chromium,Cr-55,3.497 m,B-,–,1.1007,0.0007,1.1013,{'Mn-55': 1.0}
24,Chromium,Cr-56,5.94 m,B-,–,0.6083,0.0918,0.7,{'Mn-56': 1.0}
25,Manganese,Mn-50m,1.75 m,ECB+,–,1.5243,4.6397,6.164,{'Cr-50': 1.0}
25,Manganese,Mn-51,46.2 m,ECB+,–,0.9344,0.9977,1.9321,{'Cr-51': 1.0}
25,Manganese,Mn-52m,21.1 m,ECB+IT,–,1.1321,2.4086,3.5407,"{'Mn-52': 0.0175, 'Cr-52': 0.9825}"
25,Manganese,Mn-52,5.591 d,ECB+,–,0.075,3.4585,3.5335,{'Cr-52': 1.0}
25,Manganese,Mn-53,3.7E+6 y,EC,–,0.004,0.0014,0.0053,{'Cr-53': 1.0}
25,Manganese,Mn-54,312.12 d,ECB+B-,–,0.0042,0.836,0.8402,"{'Cr-54': 1.0, 'Fe-54': 2.9e-06}"
25,Manganese,Mn-56,2.5789 h,B-,–,0.8299,1.6916,2.5215,{'Fe-56': 1.0}
25,Manganese,Mn-57,85.4 s,B-,–,1.1013,0.0996,1.2009,{'Fe-57': 1.0}
25,Manganese,Mn-58m,65.2 s,B-,–,1.7443,2.3854,4.1297,{'Fe-58': 1.0}
26,Iron,Fe-52,8.275 h,ECB+,–,0.1917,0.7405,0.9322,{'Mn-52m': 1.0}
26,Iron,Fe-53,8.51 m,ECB+,–,1.1013,1.1782,2.2795,{'Mn-53': 1.0}
26,Iron,Fe-53m,2.526 m,IT,–,0.0023,3.0547,3.057,{'Fe-53': 1.0}
26,Iron,Fe-55,2.737 y,EC,–,0.0042,0.0017,0.0058,{'Mn-55': 1.0}
26,Iron,Fe-59,44.495 d,B-,–,0.1179,1.1883,1.3062,{'Co-59': 1.0}
26,Iron,Fe-60,1.5E+6 y,B-,–,0.0647,–,0.0647,{'Co-60m': 1.0}
26,Iron,Fe-61,5.98 m,B-,–,1.0934,1.391,2.4844,{'Co-61': 1.0}
26,Iron,Fe-62,68 s,B-,–,0.8258,0.5061,1.3319,{'Co-62': 1.0}
27,Cobalt,Co-54m,1.48 m,ECB+,–,2.0484,3.9306,5.979,{'Fe-54': 1.0}
27,Cobalt,Co-55,17.53 h,ECB+,–,0.4312,1.996,2.4272,{'Fe-55': 1.0}
27,Cobalt,Co-56,77.23 d,ECB+,–,0.1198,3.6404,3.7602,{'Fe-56': 1.0}
27,Cobalt,Co-57,271.74 d,EC,–,0.0186,0.1252,0.1439,{'Fe-57': 1.0}
27,Cobalt,Co-58,70.86 d,ECB+,–,0.034,0.9749,1.0089,{'Fe-58': 1.0}
27,Cobalt,Co-58m,9.04 h,IT,–,0.0229,0.002,0.0249,{'Co-58': 1.0}
27,Cobalt,Co-60,5.2713 y,B-,–,0.0969,2.5038,2.6007,{'Ni-60': 1.0}
27,Cobalt,Co-60m,10.467 m,ITB-,–,0.0565,0.0067,0.0632,"{'Co-60': 0.9976, 'Ni-60': 0.0024}"
27,Cobalt,Co-61,1.650 h,B-,–,0.4664,0.097,0.5634,{'Ni-61': 1.0}
27,Cobalt,Co-62,1.50 m,B-,–,1.6336,1.605,3.2386,{'Ni-62': 1.0}
27,Cobalt,Co-62m,13.91 m,B-,–,1.0974,2.6923,3.7897,{'Ni-62': 1.0}
28,Nickel,Ni-56,6.075 d,ECB+,–,0.0073,1.7207,1.728,{'Co-56': 1.0}
28,Nickel,Ni-57,35.60 h,ECB+,–,0.1571,1.9382,2.0953,{'Co-57': 1.0}
28,Nickel,Ni-59,1.01E+5 y,ECB+,–,0.0045,0.0024,0.0069,{'Co-59': 1.0}
28,Nickel,Ni-63,100.1 y,B-,–,0.0174,–,0.0174,{'Cu-63': 1.0}
28,Nickel,Ni-65,2.51719 h,B-,–,0.6277,0.5583,1.186,{'Cu-65': 1.0}
28,Nickel,Ni-66,54.6 h,B-,–,0.0734,–,0.0734,{'Cu-66': 1.0}
29,Copper,Cu-57,0.1963 s,ECB+,–,3.5987,1.1407,4.7394,{'Ni-57': 1.0}
29,Copper,Cu-59,81.5 s,ECB+,–,1.4892,1.4451,2.9342,{'Ni-59': 1.0}
29,Copper,Cu-60,23.7 m,ECB+,–,0.8975,3.9111,4.8087,{'Ni-60': 1.0}
29,Copper,Cu-61,3.333 h,ECB+,–,0.309,0.8237,1.1327,{'Ni-61': 1.0}
29,Copper,Cu-62,9.673 m,ECB+,–,1.2843,1.0069,2.2912,{'Ni-62': 1.0}
29,Copper,Cu-64,12.700 h,ECB+B-,–,0.1248,0.1855,0.3102,"{'Ni-64': 0.61, 'Zn-64': 0.39}"
29,Copper,Cu-66,5.120 m,B-,–,1.0664,0.0978,1.1642,{'Zn-66': 1.0}
29,Copper,Cu-67,61.83 h,B-,–,0.1504,0.1154,0.2657,{'Zn-67': 1.0}
29,Copper,Cu-69,2.85 m,B-,–,0.8863,0.5284,1.4147,{'Zn-69': 1.0}
30,Zinc,Zn-60,2.38 m,ECB+,–,1.1301,1.5282,2.6584,{'Cu-60': 1.0}
30,Zinc,Zn-61,89.1 s,ECB+,–,1.8571,1.5327,3.3898,{'Cu-61': 1.0}
30,Zinc,Zn-62,9.186 h,ECB+,–,0.0326,0.4431,0.4757,{'Cu-62': 1.0}
30,Zinc,Zn-63,38.47 m,ECB+,–,0.9204,1.0967,2.0171,{'Cu-63': 1.0}
30,Zinc,Zn-65,244.06 d,ECB+,–,0.0069,0.5819,0.5888,{'Cu-65': 1.0}
30,Zinc,Zn-69m,13.76 h,ITB-,–,0.0226,0.4162,0.4388,"{'Zn-69': 0.99967, 'Ga-69': 0.00033}"
30,Zinc,Zn-69,56.4 m,B-,–,0.3216,<E-04,0.3216,{'Ga-69': 1.0}
30,Zinc,Zn-71m,3.96 h,B-,–,0.543,1.5606,2.1037,{'Ga-71': 1.0}
30,Zinc,Zn-71,2.45 m,B-,–,1.0474,0.315,1.3624,{'Ga-71': 1.0}
30,Zinc,Zn-72,46.5 h,B-,–,0.1021,0.1519,0.2541,{'Ga-72': 1.0}
31,Gallium,Ga-64,2.627 m,ECB+,–,1.7031,3.3726,5.0756,{'Zn-64': 1.0}
31,Gallium,Ga-65,15.2 m,ECB+,–,0.8158,1.165,1.9808,{'Zn-65': 1.0}
31,Gallium,Ga-66,9.49 h,ECB+,–,0.9634,2.4944,3.4577,{'Zn-66': 1.0}
31,Gallium,Ga-67,3.2612 d,EC,–,0.0363,0.1595,0.1959,{'Zn-67': 1.0}
31,Gallium,Ga-68,67.71 m,ECB+,–,0.7379,0.9487,1.6866,{'Zn-68': 1.0}
31,Gallium,Ga-70,21.14 m,B-EC,–,0.6441,0.0073,0.6514,"{'Ge-70': 0.9959, 'Zn-70': 0.0041}"
31,Gallium,Ga-72,14.10 h,B-,–,0.506,2.7071,3.2131,{'Ge-72': 1.0}
31,Gallium,Ga-73,4.86 h,B-,–,0.4999,0.352,0.8519,{'Ge-73': 1.0}
31,Gallium,Ga-74,8.12 m,B-,–,0.9945,3.154,4.1486,{'Ge-74': 1.0}
32,Germanium,Ge-66,2.26 h,ECB+,–,0.0984,0.678,0.7764,{'Ga-66': 1.0}
32,Germanium,Ge-67,18.9 m,ECB+,–,1.1688,1.4254,2.5942,{'Ga-67': 1.0}
32,Germanium,Ge-68,270.95 d,EC,–,0.005,0.0041,0.0091,{'Ga-68': 1.0}
32,Germanium,Ge-69,39.05 h,ECB+,–,0.1203,0.9505,1.0708,{'Ga-69': 1.0}
32,Germanium,Ge-71,11.43 d,EC,–,0.005,0.0042,0.0092,{'Ga-71': 1.0}
32,Germanium,Ge-75,82.78 m,B-,–,0.4206,0.0352,0.4558,{'As-75': 1.0}
32,Germanium,Ge-77,11.30 h,B-,–,0.6493,1.0787,1.728,{'As-77': 1.0}
32,Germanium,Ge-78,88 m,B-,–,0.2273,0.2781,0.5053,{'As-78': 1.0}
33,Arsenic,As-68,151.6 s,ECB+,–,1.9985,3.7113,5.7097,{'Ge-68': 1.0}
33,Arsenic,As-69,15.23 m,ECB+,–,1.2182,1.1431,2.3613,{'Ge-69': 1.0}
33,Arsenic,As-70,52.6 m,ECB+,–,0.8799,4.2528,5.1327,{'Ge-70': 1.0}
33,Arsenic,As-71,65.28 h,ECB+,–,0.1167,0.5765,0.6932,{'Ge-71': 1.0}
33,Arsenic,As-72,26.0 h,ECB+,–,1.0409,1.7832,2.824,{'Ge-72': 1.0}
33,Arsenic,As-73,80.30 d,EC,–,0.0606,0.0159,0.0765,{'Ge-73': 1.0}
33,Arsenic,As-74,17.77 d,ECB+B-,–,0.2658,0.7582,1.0241,"{'Ge-74': 0.66, 'Se-74': 0.34}"
33,Arsenic,As-76,1.0778 d,B-,–,1.067,0.4166,1.4836,{'Se-76': 1.0}
33,Arsenic,As-77,38.83 h,B-,–,0.2258,0.0083,0.2342,{'Se-77': 1.0}
33,Arsenic,As-78,90.7 m,B-,–,1.246,1.3066,2.5525,{'Se-78': 1.0}
33,Arsenic,As-79,9.01 m,B-,–,0.8771,0.0338,0.9109,"{'Se-79m': 0.97188, 'Se-79': 0.028121}"
34,Selenium,Se-70,41.1 m,ECB+,–,0.2375,0.7211,0.9586,{'As-70': 1.0}
34,Selenium,Se-71,4.74 m,ECB+,–,1.3844,1.6056,2.99,{'As-71': 1.0}
34,Selenium,Se-72,8.40 d,EC,–,0.0228,0.0343,0.0571,{'As-72': 1.0}
34,Selenium,Se-73,7.15 h,ECB+,–,0.3871,1.0924,1.4795,{'As-73': 1.0}
34,Selenium,Se-73m,39.8 m,ITECB+,–,0.1642,0.2633,0.4275,"{'Se-73': 0.726, 'As-73': 0.274}"
34,Selenium,Se-75,119.779 d,EC,–,0.0144,0.389,0.4034,{'As-75': 1.0}
34,Selenium,Se-77m,17.36 s,IT,–,0.0737,0.0888,0.1625,{'Se-77': 1.0}
34,Selenium,Se-79,2.95E+5 y,B-,–,0.0529,–,0.0529,{'Br-79': 1.0}
34,Selenium,Se-79m,3.92 m,ITB-,–,0.082,0.0138,0.0957,"{'Se-79': 0.99944, 'Br-79': 0.00056}"
34,Selenium,Se-81,18.45 m,B-,–,0.6108,0.008,0.6188,{'Br-81': 1.0}
34,Selenium,Se-81m,57.28 m,ITB-,–,0.0871,0.0183,0.1054,"{'Se-81': 0.99948, 'Br-81': 0.00052}"
34,Selenium,Se-83,22.3 m,B-,–,0.4528,2.6254,3.0782,{'Br-83': 1.0}
34,Selenium,Se-83m,70.1 s,B-,–,1.257,0.9849,2.2419,{'Br-83': 1.0}
34,Selenium,Se-84,3.1 m,B-,–,0.5499,0.4202,0.9701,{'Br-84': 1.0}
35,Bromine,Br-72,78.6 s,ECB+,–,2.788,2.9624,5.7504,{'Se-72': 1.0}
35,Bromine,Br-73,3.4 m,ECB+,–,1.3434,1.4331,2.7765,"{'Se-73m': 0.99881, 'Se-73': 0.001192}"
35,Bromine,Br-74,25.4 m,ECB+,–,1.0616,4.613,5.6746,{'Se-74': 1.0}
35,Bromine,Br-74m,46 m,ECB+,–,1.2747,4.1467,5.4214,{'Se-74': 1.0}
35,Bromine,Br-75,96.7 m,ECB+,–,0.5283,1.1981,1.7263,{'Se-75': 1.0}
35,Bromine,Br-76,16.2 h,ECB+,–,0.6497,2.7933,3.443,{'Se-76': 1.0}
35,Bromine,Br-76m,1.31 s,ITECB+,–,0.069,0.0433,0.1123,"{'Br-76': 0.997, 'Se-76': 0.003}"
35,Bromine,Br-77,57.036 h,ECB+,–,0.0094,0.3209,0.3303,{'Se-77': 1.0}
35,Bromine,Br-77m,4.28 m,IT,–,0.0876,0.0197,0.1073,{'Br-77': 1.0}
35,Bromine,Br-78,6.46 m,ECB+B-,–,1.0235,1.0336,2.0571,"{'Se-78': 0.9999, 'Kr-78': 0.0001}"
35,Bromine,Br-80,17.68 m,B-ECB+,–,0.7247,0.0761,0.8007,"{'Kr-80': 0.917, 'Se-80': 0.083}"
35,Bromine,Br-80m,4.4205 h,IT,–,0.0617,0.0242,0.0859,{'Br-80': 1.0}
35,Bromine,Br-82,35.30 h,B-,–,0.1454,2.6389,2.7844,{'Kr-82': 1.0}
35,Bromine,Br-82m,6.13 m,ITB-,–,0.0704,0.0081,0.0785,"{'Br-82': 0.976, 'Kr-82': 0.024}"
35,Bromine,Br-83,2.40 h,B-,–,0.3258,0.0069,0.3326,"{'Kr-83m': 0.99845, 'Kr-83': 0.0015519}"
35,Bromine,Br-84,31.80 m,B-,–,1.2364,1.7595,2.9959,{'Kr-84': 1.0}
35,Bromine,Br-84m,6.0 m,B-,–,0.8983,2.7684,3.6667,{'Kr-84': 1.0}
35,Bromine,Br-85,2.90 m,B-,–,1.0384,0.066,1.1045,"{'Kr-85m': 0.99779, 'Kr-85': 0.0022112}"
36,Krypton,Kr-74,11.50 m,ECB+,–,0.6006,1.0579,1.6585,{'Br-74': 1.0}
36,Krypton,Kr-75,4.29 m,ECB+,–,1.543,1.28,2.823,{'Br-75': 1.0}
36,Krypton,Kr-76,14.8 h,EC,–,0.0154,0.4276,0.443,"{'Br-76': 0.99189, 'Br-76m': 0.0081144}"
36,Krypton,Kr-77,74.4 m,ECB+,–,0.6744,1.0384,1.7128,"{'Br-77': 0.90386, 'Br-77m': 0.096135}"
36,Krypton,Kr-79,35.04 h,ECB+,–,0.0237,0.2549,0.2786,{'Br-79': 1.0}
36,Krypton,Kr-81,2.29E+5 y,EC,–,0.0052,0.0072,0.0124,{'Br-81': 1.0}
36,Krypton,Kr-81m,13.10 s,ITEC,–,0.0596,0.1309,0.1905,"{'Kr-81': 0.99998, 'Br-81': 2.5e-05}"
36,Krypton,Kr-83m,1.83 h,IT,–,0.0388,0.0028,0.0416,{'Kr-83': 1.0}
36,Krypton,Kr-85,10.756 y,B-,–,0.2507,0.0022,0.2529,{'Rb-85': 1.0}
36,Krypton,Kr-85m,4.480 h,B-IT,–,0.2549,0.1574,0.4123,"{'Kr-85': 0.214, 'Rb-85': 0.786}"
36,Krypton,Kr-87,76.3 m,B-,–,1.3281,0.7919,2.1201,{'Rb-87': 1.0}
36,Krypton,Kr-88,2.84 h,B-,–,0.3689,1.9538,2.3227,{'Rb-88': 1.0}
36,Krypton,Kr-89,3.15 m,B-,–,1.3705,1.9313,3.3018,{'Rb-89': 1.0}
37,Rubidium,Rb-77,3.77 m,ECB+,–,1.6865,1.5452,3.2318,{'Kr-77': 1.0}
37,Rubidium,Rb-78,17.66 m,ECB+,–,1.2889,4.0918,5.3808,{'Kr-78': 1.0}
37,Rubidium,Rb-78m,5.74 m,ECB+IT,–,1.4992,3.2149,4.7141,"{'Rb-78': 0.1, 'Kr-78': 0.9}"
37,Rubidium,Rb-79,22.9 m,ECB+,–,0.8099,1.4493,2.2592,{'Kr-79': 1.0}
37,Rubidium,Rb-80,33.4 s,ECB+,–,2.0455,1.19,3.2355,{'Kr-80': 1.0}
37,Rubidium,Rb-81,4.576 h,ECB+,–,0.1222,0.5081,0.6304,"{'Kr-81m': 0.95691, 'Kr-81': 0.043091}"
37,Rubidium,Rb-81m,30.5 m,ITECB+,–,0.0817,0.0303,0.112,"{'Rb-81': 0.976, 'Kr-81': 0.023786, 'Kr-81m': 0.00021355}"
37,Rubidium,Rb-82,1.273 m,ECB+,–,1.4112,1.1083,2.5195,{'Kr-82': 1.0}
37,Rubidium,Rb-82m,6.472 h,ECB+,–,0.0935,2.9212,3.0147,{'Kr-82': 1.0}
37,Rubidium,Rb-83,86.2 d,EC,–,0.0083,0.4914,0.4997,"{'Kr-83m': 0.74292, 'Kr-83': 0.25708}"
37,Rubidium,Rb-84,32.77 d,ECB+B-,–,0.1633,0.9077,1.071,"{'Kr-84': 0.962, 'Sr-84': 0.038}"
37,Rubidium,Rb-84m,20.26 m,IT,–,0.0813,0.3831,0.4644,{'Rb-84': 1.0}
37,Rubidium,Rb-86,18.642 d,B-EC,–,0.668,0.093,0.761,"{'Sr-86': 0.99995, 'Kr-86': 5.2e-05}"
37,Rubidium,Rb-86m,1.017 m,IT,–,0.01,0.5461,0.5561,{'Rb-86': 1.0}
37,Rubidium,Rb-87,4.923E10 y,B-,–,0.1154,–,0.1154,{'Sr-87': 1.0}
37,Rubidium,Rb-88,17.78 m,B-,–,2.072,0.637,2.7089,{'Sr-88': 1.0}
37,Rubidium,Rb-89,15.15 m,B-,–,0.9528,2.243,3.1959,{'Sr-89': 1.0}
37,Rubidium,Rb-90,158 s,B-,–,2.0443,2.0286,4.0729,{'Sr-90': 1.0}
37,Rubidium,Rb-90m,258 s,B-IT,–,1.4104,3.2406,4.651,"{'Sr-90': 0.974, 'Rb-90': 0.026}"
