Z,Element,Nuclide,Half-life,Decay mode,Alpha,Electron,Photon,Total,Daughter Products
60,Neodymium,Nd-137,38.5 m,ECB+,–,0.3247,1.1789,1.5036,{'Pr-137': 1.0}
60,Neodymium,Nd-138,5.04 h,EC,–,0.0082,0.0438,0.052,{'Pr-138': 1.0}
60,Neodymium,Nd-139,29.7 m,ECB+,–,0.2084,0.4431,0.6515,{'Pr-139': 1.0}
60,Neodymium,Nd-139m,5.50 h,ECB+IT,–,0.0795,1.5852,1.6647,"{'Pr-139': 0.882, 'Nd-139': 0.118}"
60,Neodymium,Nd-140,3.37 d,EC,–,0.0069,0.0287,0.0357,{'Pr-140': 1.0}
60,Neodymium,Nd-141,2.49 h,ECB+,–,0.0165,0.0765,0.093,{'Pr-141': 1.0}
60,Neodymium,Nd-141m,62.0 s,ITECB+,–,0.0622,0.6947,0.7569,"{'Nd-141': 0.99968, 'Pr-141': 0.00032}"
60,Neodymium,Nd-144,2.29E+15 y,A,1.9052,–,–,1.9052,{'Ce-140': 1.0}
60,Neodymium,Nd-147,10.98 d,B-,–,0.2702,0.1408,0.4109,{'Pm-147': 1.0}
60,Neodymium,Nd-149,1.728 h,B-,–,0.5042,0.3713,0.8756,{'Pm-149': 1.0}
60,Neodymium,Nd-151,12.44 m,B-,–,0.6195,0.8518,1.4712,{'Pm-151': 1.0}
60,Neodymium,Nd-152,11.4 m,B-,–,0.3314,0.1644,0.4957,{'Pm-152': 1.0}
61,Promethium,Pm-136,107 s,ECB+,–,2.1436,2.7178,4.8614,{'Nd-136': 1.0}
61,Promethium,Pm-137m,2.4 m,ECB+,–,1.112,1.7835,2.8955,{'Nd-137': 1.0}
61,Promethium,Pm-139,4.15 m,ECB+,–,1.0416,0.939,1.9807,{'Nd-139': 1.0}
61,Promethium,Pm-140,9.2 s,ECB+,–,2.0432,1.0506,3.0937,{'Nd-140': 1.0}
61,Promethium,Pm-140m,5.95 m,ECB+,–,0.9932,3.0324,4.0256,{'Nd-140': 1.0}
61,Promethium,Pm-141,20.90 m,ECB+,–,0.6054,0.7349,1.3403,"{'Nd-141': 0.99833, 'Nd-141m': 0.0016651}"
61,Promethium,Pm-142,40.5 s,ECB+,–,1.3122,0.8561,2.1683,{'Nd-142': 1.0}
61,Promethium,Pm-143,265 d,EC,–,0.0083,0.3157,0.324,{'Nd-143': 1.0}
61,Promethium,Pm-144,363 d,EC,–,0.0171,1.5631,1.5802,{'Nd-144': 1.0}
61,Promethium,Pm-145,17.7 y,ECA,<E-04,0.0126,0.0315,0.0441,"{'Nd-145': 1.0, 'Pr-141': 2.8e-09}"
61,Promethium,Pm-146,5.53 y,ECB-,–,0.0941,0.7512,0.8453,"{'Sm-146': 0.34, 'Nd-146': 0.66}"
61,Promethium,Pm-147,2.6234 y,B-,–,0.0619,<E-04,0.0619,{'Sm-147': 1.0}
61,Promethium,Pm-148,5.368 d,B-,–,0.7284,0.5743,1.3028,{'Sm-148': 1.0}
61,Promethium,Pm-148m,41.29 d,B-IT,–,0.1699,1.9916,2.1615,"{'Sm-148': 0.958, 'Pm-148': 0.042}"
61,Promethium,Pm-149,53.08 h,B-,–,0.365,0.0119,0.3769,{'Sm-149': 1.0}
61,Promethium,Pm-150,2.68 h,B-,–,0.8101,1.4705,2.2806,{'Sm-150': 1.0}
61,Promethium,Pm-151,28.40 h,B-,–,0.3048,0.3289,0.6337,{'Sm-151': 1.0}
61,Promethium,Pm-152,4.12 m,B-,–,1.3283,0.2866,1.6149,{'Sm-152': 1.0}
61,Promethium,Pm-152m,7.52 m,B-,–,0.9055,1.5189,2.4244,{'Sm-152': 1.0}
61,Promethium,Pm-153,5.25 m,B-,–,0.6881,0.0764,0.7645,{'Sm-153': 1.0}
61,Promethium,Pm-154,1.73 m,B-,–,0.8706,1.7933,2.6638,{'Sm-154': 1.0}
61,Promethium,Pm-154m,2.68 m,B-,–,0.9492,1.7996,2.7488,{'Sm-154': 1.0}
62,Samarium,Sm-139,2.57 m,ECB+,–,1.0871,1.454,2.541,{'Pm-139': 1.0}
62,Samarium,Sm-140,14.82 m,ECB+,–,0.171,0.5677,0.7387,{'Pm-140': 1.0}
62,Samarium,Sm-141,10.2 m,ECB+,–,0.7126,1.4089,2.1215,{'Pm-141': 1.0}
62,Samarium,Sm-141m,22.6 m,ECB+IT,–,0.3995,1.9494,2.3489,"{'Pm-141': 0.9969, 'Sm-141': 0.0031}"
62,Samarium,Sm-142,72.49 m,ECB+,–,0.0446,0.1105,0.1551,{'Pm-142': 1.0}
62,Samarium,Sm-143,8.75 m,ECB+,–,0.4978,0.5289,1.0267,{'Pm-143': 1.0}
62,Samarium,Sm-143m,66 s,ITECB+,–,0.072,0.6844,0.7564,"{'Sm-143': 0.9976, 'Pm-143': 0.0024}"
62,Samarium,Sm-145,340 d,EC,–,0.0307,0.0642,0.095,{'Pm-145': 1.0}
62,Samarium,Sm-146,1.03E+8 y,A,2.529,–,–,2.529,{'Nd-142': 1.0}
62,Samarium,Sm-147,1.060E11 y,A,2.3105,–,–,2.3105,{'Nd-143': 1.0}
62,Samarium,Sm-148,7E+15 y,A,1.986,–,–,1.986,{'Nd-144': 1.0}
62,Samarium,Sm-151,90 y,B-,–,0.02,<E-04,0.02,{'Eu-151': 1.0}
62,Samarium,Sm-153,46.50 h,B-,–,0.2699,0.0643,0.3341,{'Eu-153': 1.0}
62,Samarium,Sm-155,22.3 m,B-,–,0.5674,0.1029,0.6703,{'Eu-155': 1.0}
62,Samarium,Sm-156,9.4 h,B-,–,0.2093,0.115,0.3242,{'Eu-156': 1.0}
62,Samarium,Sm-157,8.03 m,B-,–,0.875,0.4142,1.2892,{'Eu-157': 1.0}
63,Europium,Eu-142,2.34 s,ECB+,–,2.767,1.197,3.9641,{'Sm-142': 1.0}
63,Europium,Eu-142m,1.223 m,ECB+,–,1.7683,3.4305,5.1987,{'Sm-142': 1.0}
63,Europium,Eu-143,2.59 m,ECB+,–,1.3676,1.1227,2.4903,"{'Sm-143': 0.99879, 'Sm-143m': 0.0012069}"
63,Europium,Eu-144,10.2 s,ECB+,–,2.0761,1.0917,3.1678,{'Sm-144': 1.0}
63,Europium,Eu-145,5.93 d,ECB+,–,0.0254,1.2798,1.3052,{'Sm-145': 1.0}
63,Europium,Eu-146,4.61 d,ECB+,–,0.0455,2.4007,2.4462,{'Sm-146': 1.0}
63,Europium,Eu-147,24.1 d,ECB+A,<E-04,0.0431,0.4721,0.5152,"{'Sm-147': 0.99998, 'Pm-143': 2.2e-05}"
63,Europium,Eu-148,54.5 d,ECB+A,<E-04,0.0224,2.2287,2.2511,"{'Sm-148': 1.0, 'Pm-144': 9.4e-09}"
63,Europium,Eu-149,93.1 d,EC,–,0.0241,0.0661,0.0902,{'Sm-149': 1.0}
63,Europium,Eu-150,36.9 y,ECB+,–,0.0285,1.5554,1.5839,{'Sm-150': 1.0}
63,Europium,Eu-150m,12.8 h,B-ECB+,–,0.3122,0.0494,0.3615,"{'Gd-150': 0.89, 'Sm-150': 0.11}"
63,Europium,Eu-152,13.537 y,ECB+B-,–,0.1286,1.1759,1.3045,"{'Gd-152': 0.279, 'Sm-152': 0.721}"
63,Europium,Eu-152m,9.3116 h,B-ECB+,–,0.506,0.2963,0.8023,"{'Gd-152': 0.72, 'Sm-152': 0.28}"
63,Europium,Eu-152n,96 m,IT,–,0.0666,0.0753,0.1419,{'Eu-152': 1.0}
63,Europium,Eu-154,8.593 y,B-EC,–,0.273,1.2493,1.5223,"{'Gd-154': 0.9998, 'Sm-154': 0.0002}"
63,Europium,Eu-154m,46.0 m,IT,–,0.0745,0.0706,0.1451,{'Eu-154': 1.0}
63,Europium,Eu-155,4.7611 y,B-,–,0.0647,0.0612,0.1259,{'Gd-155': 1.0}
63,Europium,Eu-156,15.19 d,B-,–,0.4579,1.2342,1.692,{'Gd-156': 1.0}
63,Europium,Eu-157,15.18 h,B-,–,0.3961,0.293,0.6891,{'Gd-157': 1.0}
63,Europium,Eu-158,45.9 m,B-,–,0.892,1.2978,2.1898,{'Gd-158': 1.0}
63,Europium,Eu-159,18.1 m,B-,–,0.8923,0.3032,1.1954,{'Gd-159': 1.0}
64,Gadolinium,Gd-142,70.2 s,ECB+,–,0.739,1.0432,1.7822,{'Eu-142': 1.0}
64,Gadolinium,Gd-143m,110.0 s,ECB+,–,1.2854,2.1211,3.4065,{'Eu-143': 1.0}
64,Gadolinium,Gd-144,4.47 m,ECB+,–,0.5858,0.9086,1.4944,{'Eu-144': 1.0}
64,Gadolinium,Gd-145,23.0 m,ECB+,–,0.3456,2.4236,2.7692,{'Eu-145': 1.0}
64,Gadolinium,Gd-145m,85 s,ITECB+,–,0.1927,0.6814,0.8741,"{'Gd-145': 0.943, 'Eu-145': 0.057}"
64,Gadolinium,Gd-146,48.27 d,EC,–,0.1274,0.2526,0.38,{'Eu-146': 1.0}
64,Gadolinium,Gd-147,38.1 h,ECB+,–,0.0617,1.403,1.4647,{'Eu-147': 1.0}
64,Gadolinium,Gd-148,74.6 y,A,3.2712,–,–,3.2712,{'Sm-144': 1.0}
64,Gadolinium,Gd-149,9.28 d,ECB+,–,0.0686,0.5292,0.5978,{'Eu-149': 1.0}
64,Gadolinium,Gd-150,1.79E+6 y,A,2.809,–,–,2.809,{'Sm-146': 1.0}
64,Gadolinium,Gd-151,124 d,ECA,<E-04,0.0394,0.0708,0.1102,"{'Sm-147': 1e-08, 'Eu-151': 1.0}"
64,Gadolinium,Gd-152,1.08E+14 y,A,2.2046,–,–,2.2046,{'Sm-148': 1.0}
64,Gadolinium,Gd-153,240.4 d,EC,–,0.0438,0.1057,0.1494,{'Eu-153': 1.0}
64,Gadolinium,Gd-159,18.479 h,B-,–,0.3096,0.0539,0.3635,{'Tb-159': 1.0}
64,Gadolinium,Gd-162,8.4 m,B-,–,0.3387,0.417,0.7557,{'Tb-162': 1.0}
65,Terbium,Tb-146,23 s,ECB+,–,1.4644,3.6256,5.09,{'Gd-146': 1.0}
65,Terbium,Tb-147,1.64 h,ECB+,–,0.281,2.1845,2.4655,{'Gd-147': 1.0}
65,Terbium,Tb-147m,1.87 m,ECB+,–,0.3196,1.9116,2.2312,{'Gd-147': 1.0}
65,Terbium,Tb-148,60 m,ECB+,–,0.8411,2.359,3.2001,{'Gd-148': 1.0}
65,Terbium,Tb-148m,2.20 m,ECB+,–,0.3106,3.139,3.4495,{'Gd-148': 1.0}
65,Terbium,Tb-149,4.118 h,ECB+A,0.681,0.0871,1.3612,2.1292,"{'Gd-149': 0.833, 'Eu-145': 0.167}"
65,Terbium,Tb-149m,4.16 m,ECB+A,0.0009,0.2091,1.3748,1.5847,"{'Gd-149': 0.99978, 'Eu-145': 0.00022}"
65,Terbium,Tb-150,3.48 h,ECB+A,<E-04,0.289,2.4403,2.7293,"{'Gd-150': 1.0, 'Eu-146': 7e-06}"
65,Terbium,Tb-150m,5.8 m,ECB+,–,0.1267,2.5202,2.647,{'Gd-150': 1.0}
65,Terbium,Tb-151,17.609 h,ECB+A,0.0003,0.08,0.9941,1.0744,"{'Gd-151': 1.0, 'Eu-147': 9.5e-05}"
65,Terbium,Tb-151m,25 s,ITECB+,–,0.0793,0.0808,0.1601,"{'Tb-151': 0.934, 'Gd-151': 0.066}"
65,Terbium,Tb-152,17.5 h,ECB+,–,0.2503,1.4932,1.7436,{'Gd-152': 1.0}
65,Terbium,Tb-152m,4.2 m,ITECB+,–,0.152,0.7619,0.9139,"{'Tb-152': 0.788, 'Gd-152': 0.212}"
65,Terbium,Tb-153,2.34 d,ECB+,–,0.0481,0.3318,0.38,{'Gd-153': 1.0}
65,Terbium,Tb-154,21.5 h,ECB+,–,0.0681,2.2831,2.3512,{'Gd-154': 1.0}
65,Terbium,Tb-155,5.32 d,EC,–,0.0434,0.1777,0.2211,{'Gd-155': 1.0}
65,Terbium,Tb-156,5.35 d,EC,–,0.0835,1.9371,2.0206,{'Gd-156': 1.0}
65,Terbium,Tb-156m,24.4 h,IT,–,0.0171,0.037,0.054,{'Tb-156': 1.0}
65,Terbium,Tb-156n,5.3 h,IT,–,0.0874,0.0048,0.0922,{'Tb-156': 1.0}
65,Terbium,Tb-157,71 y,EC,–,0.0057,0.0057,0.0114,{'Gd-157': 1.0}
65,Terbium,Tb-158,180 y,ECB-,–,0.1117,0.8048,0.9165,"{'Gd-158': 0.834, 'Dy-158': 0.166}"
65,Terbium,Tb-160,72.3 d,B-,–,0.2593,1.1264,1.3856,{'Dy-160': 1.0}
65,Terbium,Tb-161,6.906 d,B-,–,0.2025,0.0365,0.239,{'Dy-161': 1.0}
65,Terbium,Tb-162,7.60 m,B-,–,0.5327,1.1066,1.6393,{'Dy-162': 1.0}
65,Terbium,Tb-163,19.5 m,B-,–,0.3597,0.7887,1.1484,{'Dy-163': 1.0}
65,Terbium,Tb-164,3.0 m,B-,–,0.8249,2.4455,3.2704,{'Dy-164': 1.0}
65,Terbium,Tb-165,2.11 m,B-,–,0.8966,0.8363,1.733,"{'Dy-165m': 0.89028, 'Dy-165': 0.10972}"
66,Dysprosium,Dy-148,3.3 m,ECB+,–,0.0278,0.717,0.7448,{'Tb-148': 1.0}
66,Dysprosium,Dy-149,4.20 m,ECB+,–,0.112,1.6222,1.7342,"{'Tb-149': 0.56682, 'Tb-149m': 0.43318}"
66,Dysprosium,Dy-150,7.17 m,ECB+A,1.5664,0.007,0.2785,1.8519,"{'Tb-150': 0.64, 'Gd-146': 0.36}"
66,Dysprosium,Dy-151,17.9 m,ECB+A,0.2341,0.0653,1.3723,1.6717,"{'Tb-151': 0.53377, 'Tb-151m': 0.41023, 'Gd-147': 0.056}"
66,Dysprosium,Dy-152,2.38 h,ECA,0.0037,0.013,0.2867,0.3034,"{'Tb-152': 0.999, 'Gd-148': 0.001}"
66,Dysprosium,Dy-153,6.4 h,ECB+A,0.0003,0.0901,0.8746,0.9651,"{'Tb-153': 1.0, 'Gd-149': 9.4e-05}"
66,Dysprosium,Dy-154,3.0E+6 y,A,2.947,–,–,2.947,{'Gd-150': 1.0}
66,Dysprosium,Dy-155,9.9 h,ECB+,–,0.0272,0.6687,0.6959,{'Tb-155': 1.0}
66,Dysprosium,Dy-157,8.14 h,EC,–,0.0138,0.3472,0.361,{'Tb-157': 1.0}
66,Dysprosium,Dy-159,144.4 d,EC,–,0.0131,0.0456,0.0587,{'Tb-159': 1.0}
66,Dysprosium,Dy-165,2.334 h,B-,–,0.4473,0.0267,0.474,{'Ho-165': 1.0}
66,Dysprosium,Dy-165m,1.257 m,ITB-,–,0.1049,0.0192,0.124,"{'Dy-165': 0.9776, 'Ho-165': 0.0224}"
66,Dysprosium,Dy-166,81.6 h,B-,–,0.1667,0.0433,0.21,{'Ho-166': 1.0}
66,Dysprosium,Dy-167,6.20 m,B-,–,0.7262,0.5326,1.2589,{'Ho-167': 1.0}
66,Dysprosium,Dy-168,8.7 m,B-,–,0.4332,0.3948,0.828,{'Ho-168': 1.0}
67,Holmium,Ho-150,76.8 s,ECB+,–,1.9857,1.8843,3.8701,{'Dy-150': 1.0}
67,Holmium,Ho-153,2.01 m,ECB+A,0.002,0.5387,1.0281,1.5689,"{'Dy-153': 0.99949, 'Tb-149m': 0.00051}"
67,Holmium,Ho-153m,9.3 m,ECB+A,0.0074,0.6952,1.0618,1.7644,"{'Dy-153': 0.9982, 'Tb-149': 0.0018}"
67,Holmium,Ho-154,11.76 m,ECB+A,0.0008,1.0927,1.8817,2.9752,"{'Dy-154': 0.99981, 'Tb-150': 0.00019}"
67,Holmium,Ho-154m,3.10 m,ECB+A,<E-04,0.5434,2.4367,2.9801,"{'Dy-154': 1.0, 'Tb-150m': 1e-05}"
67,Holmium,Ho-155,48 m,ECB+,–,0.2176,0.6142,0.8318,{'Dy-155': 1.0}
67,Holmium,Ho-156,56 m,ECB+,–,0.6655,2.1064,2.7719,{'Dy-156': 1.0}
67,Holmium,Ho-157,12.6 m,ECB+,–,0.0929,0.5835,0.6764,{'Dy-157': 1.0}
67,Holmium,Ho-159,33.05 m,ECB+,–,0.0576,0.3857,0.4433,{'Dy-159': 1.0}
67,Holmium,Ho-160,25.6 m,ECB+,–,0.0703,1.695,1.7653,{'Dy-160': 1.0}
67,Holmium,Ho-161,2.48 h,EC,–,0.0336,0.0582,0.0918,{'Dy-161': 1.0}
67,Holmium,Ho-162,15.0 m,ECB+,–,0.0598,0.164,0.2239,{'Dy-162': 1.0}
67,Holmium,Ho-162m,67.0 m,ITECB+,–,0.0739,0.5614,0.6353,"{'Ho-162': 0.62, 'Dy-162': 0.38}"
67,Holmium,Ho-163,4570 y,EC,–,0.0005,<E-04,0.0006,{'Dy-163': 1.0}
67,Holmium,Ho-164,29 m,ECB-,–,0.147,0.0297,0.1768,"{'Dy-164': 0.6, 'Er-164': 0.4}"
67,Holmium,Ho-164m,38.0 m,IT,–,0.0926,0.0472,0.1399,{'Ho-164': 1.0}
67,Holmium,Ho-166,26.80 h,B-,–,0.6963,0.0301,0.7264,{'Er-166': 1.0}
67,Holmium,Ho-166m,1.20E+3 y,B-,–,0.1497,1.6249,1.7746,{'Er-166': 1.0}
67,Holmium,Ho-167,3.1 h,B-,–,0.2329,0.3661,0.599,{'Er-167': 1.0}
67,Holmium,Ho-168,2.99 m,B-,–,0.8138,0.8762,1.6901,{'Er-168': 1.0}
67,Holmium,Ho-168m,132 s,IT,–,0.0518,0.0073,0.059,{'Ho-168': 1.0}
67,Holmium,Ho-170,2.76 m,B-,–,0.8366,1.7041,2.5407,{'Er-170': 1.0}
68,Erbium,Er-154,3.73 m,ECB+A,0.0201,0.0376,0.0759,0.1336,"{'Ho-154': 0.9953, 'Dy-150': 0.0047}"
68,Erbium,Er-156,19.5 m,EC,–,0.0943,0.0678,0.1621,{'Ho-156': 1.0}
68,Erbium,Er-159,36 m,ECB+,–,0.0738,0.9635,1.0373,{'Ho-159': 1.0}
68,Erbium,Er-161,3.21 h,ECB+,–,0.0522,0.9905,1.0427,{'Ho-161': 1.0}
68,Erbium,Er-163,75.0 m,ECB+,–,0.0081,0.0403,0.0484,{'Ho-163': 1.0}
68,Erbium,Er-165,10.36 h,EC,–,0.008,0.0379,0.0459,{'Ho-165': 1.0}
68,Erbium,Er-167m,2.269 s,IT,–,0.1111,0.0967,0.2078,{'Er-167': 1.0}
68,Erbium,Er-169,9.40 d,B-,–,0.1035,<E-04,0.1035,{'Tm-169': 1.0}
68,Erbium,Er-171,7.516 h,B-,–,0.4205,0.3731,0.7936,{'Tm-171': 1.0}
68,Erbium,Er-172,49.3 h,B-,–,0.1387,0.5166,0.6552,{'Tm-172': 1.0}
68,Erbium,Er-173,1.434 m,B-,–,0.7213,0.8313,1.5526,{'Tm-173': 1.0}
69,Thulium,Tm-161,30.2 m,ECB+,–,0.2308,1.2992,1.53,{'Er-161': 1.0}
69,Thulium,Tm-162,21.70 m,ECB+,–,0.5648,1.9155,2.4803,{'Er-162': 1.0}
69,Thulium,Tm-163,1.810 h,ECB+,–,0.0716,1.32,1.3916,{'Er-163': 1.0}
69,Thulium,Tm-164,2.0 m,ECB+,–,0.5994,0.776,1.3754,{'Er-164': 1.0}
69,Thulium,Tm-165,30.06 h,ECB+,–,0.0637,0.5625,0.6262,{'Er-165': 1.0}
69,Thulium,Tm-166,7.70 h,ECB+,–,0.0892,1.9768,2.066,{'Er-166': 1.0}
69,Thulium,Tm-167,9.25 d,EC,–,0.1332,0.1482,0.2814,{'Er-167': 1.0}
69,Thulium,Tm-168,93.1 d,ECB+B-,–,0.0847,1.2432,1.3279,"{'Er-168': 0.9999, 'Yb-168': 0.0001}"
69,Thulium,Tm-170,128.6 d,B-EC,–,0.328,0.0041,0.3321,"{'Yb-170': 0.99869, 'Er-170': 0.00131}"
69,Thulium,Tm-171,1.92 y,B-,–,0.0255,0.0006,0.0261,{'Yb-171': 1.0}
69,Thulium,Tm-172,63.6 h,B-,–,0.5327,0.4744,1.0072,{'Yb-172': 1.0}
69,Thulium,Tm-173,8.24 h,B-,–,0.3103,0.3885,0.6988,{'Yb-173': 1.0}
69,Thulium,Tm-174,5.4 m,B-,–,0.5129,1.7787,2.2915,{'Yb-174': 1.0}
69,Thulium,Tm-175,15.2 m,B-,–,0.5196,1.0848,1.6044,{'Yb-175': 1.0}
69,Thulium,Tm-176,1.85 m,B-,–,0.9972,1.9682,2.9654,{'Yb-176': 1.0}
70,Ytterbium,Yb-162,18.87 m,ECB+,–,0.0374,0.2519,0.2893,{'Tm-162': 1.0}
70,Ytterbium,Yb-163,11.05 m,ECB+,–,0.2718,0.7277,0.9996,{'Tm-163': 1.0}
70,Ytterbium,Yb-164,75.8 m,EC,–,0.0095,0.0542,0.0637,{'Tm-164': 1.0}
70,Ytterbium,Yb-165,9.9 m,ECB+,–,0.1518,0.339,0.4908,{'Tm-165': 1.0}
70,Ytterbium,Yb-166,56.7 h,EC,–,0.0417,0.0868,0.1285,{'Tm-166': 1.0}
70,Ytterbium,Yb-167,17.5 m,ECB+,–,0.0952,0.2696,0.3648,{'Tm-167': 1.0}
70,Ytterbium,Yb-169,32.026 d,EC,–,0.1471,0.3302,0.4773,{'Tm-169': 1.0}
70,Ytterbium,Yb-175,4.185 d,B-,–,0.1308,0.0391,0.1699,{'Lu-175': 1.0}
70,Ytterbium,Yb-177,1.911 h,B-,–,0.4358,0.1952,0.6309,{'Lu-177': 1.0}
70,Ytterbium,Yb-178,74 m,B-,–,0.1925,0.0381,0.2306,{'Lu-178': 1.0}
70,Ytterbium,Yb-179,8.0 m,B-,–,0.7093,0.9743,1.6836,{'Lu-179': 1.0}
71,Lutetium,Lu-165,10.74 m,ECB+,–,0.3751,1.1102,1.4853,{'Yb-165': 1.0}
71,Lutetium,Lu-167,51.5 m,ECB+,–,0.1109,1.692,1.803,{'Yb-167': 1.0}
71,Lutetium,Lu-169,34.06 h,ECB+,–,0.0477,1.3166,1.3643,{'Yb-169': 1.0}
71,Lutetium,Lu-169m,160 s,IT,–,0.0274,0.0017,0.029,{'Lu-169': 1.0}
71,Lutetium,Lu-170,2.012 d,ECB+,–,0.0585,2.5636,2.622,{'Yb-170': 1.0}
71,Lutetium,Lu-171,8.24 d,ECB+,–,0.0928,0.6503,0.7431,{'Yb-171': 1.0}
71,Lutetium,Lu-171m,79 s,IT,–,0.0691,0.0021,0.0711,{'Lu-171': 1.0}
71,Lutetium,Lu-172,6.70 d,ECB+,–,0.1154,1.9565,2.0718,{'Yb-172': 1.0}
71,Lutetium,Lu-172m,3.7 m,IT,–,0.0404,0.0015,0.0419,{'Lu-172': 1.0}
71,Lutetium,Lu-173,1.37 y,EC,–,0.0526,0.1834,0.236,{'Yb-173': 1.0}
71,Lutetium,Lu-174,3.31 y,ECB+,–,0.0458,0.1163,0.1621,{'Yb-174': 1.0}
71,Lutetium,Lu-174m,142 d,ITEC,–,0.1188,0.0626,0.1814,"{'Lu-174': 0.9938, 'Yb-174': 0.0062}"
71,Lutetium,Lu-176,3.85E+10 y,B-,–,0.3026,0.4799,0.7825,{'Hf-176': 1.0}
71,Lutetium,Lu-176m,3.635 h,B-EC,–,0.4783,0.0146,0.4929,"{'Hf-176': 0.99905, 'Yb-176': 0.00095}"
71,Lutetium,Lu-177,6.647 d,B-,–,0.1479,0.0351,0.183,{'Hf-177': 1.0}
71,Lutetium,Lu-177m,160.4 d,B-IT,–,0.2687,1.0005,1.2692,"{'Lu-177': 0.217, 'Hf-177': 0.783}"
71,Lutetium,Lu-178,28.4 m,B-,–,0.7561,0.1256,0.8817,{'Hf-178': 1.0}
71,Lutetium,Lu-178m,23.1 m,B-,–,0.4907,1.0481,1.5389,{'Hf-178': 1.0}
71,Lutetium,Lu-179,4.59 h,B-,–,0.4869,0.0298,0.5167,{'Hf-179': 1.0}
71,Lutetium,Lu-180,5.7 m,B-,–,0.6352,1.5148,2.1499,{'Hf-180': 1.0}
71,Lutetium,Lu-181,3.5 m,B-,–,0.8512,0.574,1.4252,{'Hf-181': 1.0}
72,Hafnium,Hf-167,2.05 m,ECB+,–,0.4952,0.6171,1.1123,{'Lu-167': 1.0}
72,Hafnium,Hf-169,3.24 m,ECB+,–,0.1309,0.6416,0.7725,"{'Lu-169': 0.96904, 'Lu-169m': 0.03096}"
